EX,NR_JOBS,NR_MACHINES,NR_VEHICLES,GRID SIZE,COMPUTATION TIME,ITERATIONS,SOLVE STATUS,OBJECTIVE
EX11-1,3,5,1,3x3,0.12152981758117676,0,Optimal,42
EX11-2,3,5,2,3x3,0.21790313720703125,0,Optimal,40
EX11-3,3,5,3,3x3,0.38155436515808105,0,Optimal,40
EX22-1,4,6,1,4x4,1.481245994567871,0,Optimal,63
EX22-2,4,6,2,4x4,19.531965255737305,18,Optimal,46
EX22-3,4,6,3,4x4,248.4907112121582,113,Optimal,46
EX22-4,4,6,4,4x4,9.570453643798828,3,Optimal,46
EX32-1,5,6,1,4x4,21.812286376953125,0,Optimal,72
EX32-2,5,6,2,4x4,21.779165983200073,18,Optimal,44
EX32-3,5,6,3,4x4,3.779515266418457,1,Optimal,44
EX32-4,5,6,4,4x4,9.351033687591553,3,Optimal,44
EX43-1,5,7,1,4x4,16.850790977478027,0,Optimal,81
EX43-2,5,7,2,4x4,21.518481254577637,16,Optimal,51
EX43-3,5,7,3,4x4,2.3646674156188965,0,Optimal,51
EX43-4,5,7,4,4x4,9.541129350662231,3,Optimal,51
EX53-1,6,7,1,4x4,900.4359903335571,0,Feasible,98
EX53-2,6,7,2,4x4,32.27907180786133,1,Optimal,53
EX53-3,6,7,3,4x4,217.78724479675293,78,Optimal,46
EX53-4,6,7,4,4x4,171.8254222869873,43,Optimal,46
EX53-5,6,7,5,4x4,10.101630687713623,1,Optimal,46
EX64-1,6,8,1,5x5,902.7657740116119,0,Feasible,114
EX64-2,6,8,2,5x5,1.422675371170044,0,Optimal,75
EX64-3,6,8,3,5x5,7.015058994293213,1,Optimal,75
EX64-4,6,8,4,5x5,6.050172567367554,0,Optimal,75
EX74-1,7,8,1,5x5,901.0733420848846,0,Feasible,140
EX74-2,7,8,2,5x5,11.528783082962036,0,Optimal,73
EX74-3,7,8,3,5x5,17.861143827438354,4,Optimal,72
EX74-4,7,8,4,5x5,18.42500352859497,2,Optimal,72
EX74-5,7,8,5,5x5,551.806914806366,47,Optimal,72
EX84-2,8,8,2,5x5,24.002328157424927,0,Optimal,93
EX84-3,8,8,3,5x5,428.5572521686554,68,Optimal,93
EX84-4,8,8,4,5x5,835.27507853508,85,Optimal,93
EX84-5,8,8,5,5x5,13.79291820526123,0,Optimal,93
EX95-2,7,9,2,5x5,56.908684730529785,0,Optimal,83
EX95-3,7,9,3,5x5,95.81945490837097,19,Optimal,81
EX95-4,7,9,4,5x5,13659.697080373764,427,Optimal,81
EX95-5,7,9,5,5x5,42.37677788734436,3,Optimal,81
EX105-3,8,9,3,5x5,2225.7899734973907,278,Optimal,64
EX105-4,8,9,4,5x5,3622.129028081894,287,Optimal,64
EX105-5,8,9,5,5x5,2499.8178277015686,134,Optimal,64
EX105-6,8,9,6,5x5,2081.7020342350006,82,Optimal,64
EX115-3,9,9,3,5x5,18007.0604865551,19,Feasible,57
EX115-4,9,9,4,5x5,18021.567212104797,770,Optimal,55
EX115-5,9,9,5,5x5,18022.612522363663,541,Optimal,55
EX115-6,9,9,6,5x5,13533.344867229462,551,Optimal,55
EX115-7,9,9,7,5x5,18039.98636651039,632,Feasible,70
EX126-2,8,10,2,5x5,15.14420747756958,2,Optimal,84
EX126-3,8,10,3,5x5,7413.025386571884,485,Optimal,84
EX136-3,9,10,3,5x5,13.773932933807373,1,Optimal,95
EX136-4,9,10,4,5x5,18022.537245750427,687,Unknown,Null
EX136-5,9,10,5,5x5,2159.8311517238617,122,Optimal,95
EX136-6,9,10,6,5x5,46.05036902427673,2,Optimal,95
EX136-7,9,10,7,5x5,228.75137281417847,8,Optimal,95
EX146-4,10,10,4,5x5,1881.9600946903229,158,Optimal,92
EX146-5,10,10,5,5x5,18028.137995243073,609,Optimal,92
EX146-6,10,10,6,5x5,18081.331701517105,91,Optimal,92
EX146-7,10,10,7,5x5,15198.956359624863,479,Optimal,92
