EX,NR_JOBS,NR_MACHINES,NR_VEHICLES,GRID SIZE,COMPUTATION TIME,ITERATIONS,SOLVE STATUS,OBJECTIVE
EX11-1,3,5,1,3x3,0.11635971069335938,0,Optimal,42
EX11-2,3,5,2,3x3,0.21480655670166016,0,Optimal,40
EX11-3,3,5,3,3x3,0.366471529006958,0,Optimal,40
EX22-1,4,6,1,4x4,0.9361114501953125,0,Optimal,63
EX22-2,4,6,2,4x4,158.38231778144836,8,Optimal,46
EX22-3,4,6,3,4x4,11.232532739639282,1,Optimal,46
EX22-4,4,6,4,4x4,25.032602071762085,2,Optimal,46
EX32-1,5,6,1,4x4,14.716561794281006,0,Optimal,72
EX32-2,5,6,2,4x4,95.83657336235046,3,Optimal,44
EX32-3,5,6,3,4x4,13.160695314407349,1,Optimal,44
EX32-4,5,6,4,4x4,117.1615207195282,5,Optimal,44
EX43-1,5,7,1,4x4,11.875066995620728,0,Optimal,81
EX43-2,5,7,2,4x4,71.13554620742798,4,Optimal,51
EX43-3,5,7,3,4x4,0.9005899429321289,0,Optimal,51
EX43-4,5,7,4,4x4,38.3135621547699,2,Optimal,51
EX53-1,6,7,1,4x4,900.3859786987305,0,Feasible,98
EX53-2,6,7,2,4x4,46.55200695991516,2,Optimal,53
EX53-3,6,7,3,4x4,10.970273733139038,1,Optimal,46
EX53-4,6,7,4,4x4,38.97463941574097,2,Optimal,46
EX53-5,6,7,5,4x4,67.8975133895874,2,Optimal,46
EX64-1,6,8,1,5x5,900.8697369098663,0,Feasible,114
EX64-2,6,8,2,5x5,2.8842647075653076,0,Optimal,75
EX64-3,6,8,3,5x5,19.673134088516235,1,Optimal,75
EX64-4,6,8,4,5x5,5.455121040344238,0,Optimal,75
EX74-1,7,8,1,5x5,901.0120754241943,0,Feasible,140
EX74-2,7,8,2,5x5,9.58006477355957,0,Optimal,73
EX74-3,7,8,3,5x5,50.763137340545654,3,Optimal,72
EX74-4,7,8,4,5x5,23.866743326187134,1,Optimal,72
EX74-5,7,8,5,5x5,117.89978384971619,1,Optimal,72
EX84-2,8,8,2,5x5,18.79677414894104,0,Optimal,93
EX84-3,8,8,3,5x5,29.3044490814209,1,Optimal,93
EX84-4,8,8,4,5x5,34.08967566490173,1,Optimal,93
EX84-5,8,8,5,5x5,11.718729972839355,0,Optimal,93
EX95-2,7,9,2,5x5,49.76490330696106,0,Optimal,83
EX95-3,7,9,3,5x5,39.98496460914612,2,Optimal,81
EX95-4,7,9,4,5x5,14973.770921945572,86,Optimal,81
EX95-5,7,9,5,5x5,317.10755443573,7,Optimal,81
EX105-3,8,9,3,5x5,6.565625429153442,1,Optimal,64
EX105-4,8,9,4,5x5,133.11514496803284,9,Optimal,64
EX105-5,8,9,5,5x5,345.1855239868164,8,Optimal,64
EX105-6,8,9,6,5x5,173.14273881912231,5,Optimal,64
EX115-3,9,9,3,5x5,18010.072472810745,19,Feasible,58
EX115-4,9,9,4,5x5,18077.91374540329,201,Optimal,55
EX115-5,9,9,5,5x5,1270.7046744823456,40,Optimal,55
EX115-6,9,9,6,5x5,18026.116800785065,93,Optimal,55
EX115-7,9,9,7,5x5,604.8799293041229,11,Optimal,55
EX126-2,8,10,2,5x5,12.203075885772705,1,Optimal,84
EX126-3,8,10,3,5x5,87.22532153129578,5,Optimal,84
EX136-3,9,10,3,5x5,38.618855714797974,3,Optimal,95
EX136-4,9,10,4,5x5,579.3364779949188,19,Optimal,95
EX136-5,9,10,5,5x5,40.95160794258118,1,Optimal,95
EX136-6,9,10,6,5x5,344.6807038784027,7,Optimal,95
EX136-7,9,10,7,5x5,1212.101684808731,13,Optimal,95
EX146-4,10,10,4,5x5,625.4282488822937,9,Optimal,92
EX146-5,10,10,5,5x5,101.66329789161682,4,Optimal,92
EX146-6,10,10,6,5x5,2822.694269180298,15,Optimal,92
EX146-7,10,10,7,5x5,151.80210733413696,3,Optimal,92
