EX,NR_JOBS,NR_MACHINES,NR_VEHICLES,GRID SIZE,COMPUTATION TIME,ITERATIONS,SOLVE STATUS,OBJECTIVE
EX11-1,3,5,1,3x3,0.12573814392089844,0,Optimal,42
EX11-2,3,5,2,3x3,0.2474803924560547,0,Optimal,40
EX11-3,3,5,3,3x3,0.37106823921203613,0,Optimal,40
EX22-1,4,6,1,4x4,1.247842788696289,0,Optimal,63
EX22-2,4,6,2,4x4,34.04804182052612,22,Optimal,46
EX22-3,4,6,3,4x4,3.443286657333374,1,Optimal,46
EX22-4,4,6,4,4x4,7.3025803565979,2,Optimal,46
EX32-1,5,6,1,4x4,18.339030504226685,0,Optimal,72
EX32-2,5,6,2,4x4,38.79518103599548,35,Optimal,44
EX32-3,5,6,3,4x4,1.9996728897094727,1,Optimal,44
EX32-4,5,6,4,4x4,17.468037605285645,5,Optimal,44
EX43-1,5,7,1,4x4,15.614381074905396,0,Optimal,81
EX43-2,5,7,2,4x4,10.947785139083862,6,Optimal,51
EX43-3,5,7,3,4x4,0.9907121658325195,0,Optimal,51
EX43-4,5,7,4,4x4,51.455469369888306,14,Optimal,51
EX53-1,6,7,1,4x4,900.3988561630249,0,Feasible,98
EX53-2,6,7,2,4x4,33.56666874885559,2,Optimal,53
EX53-3,6,7,3,4x4,2.2611608505249023,1,Optimal,46
EX53-4,6,7,4,4x4,11.148732900619507,2,Optimal,46
EX53-5,6,7,5,4x4,95.49739599227905,10,Optimal,46
EX64-1,6,8,1,5x5,900.8822453022003,0,Feasible,114
EX64-2,6,8,2,5x5,3.216667652130127,0,Optimal,75
EX64-3,6,8,3,5x5,124.89331293106079,25,Optimal,75
EX64-4,6,8,4,5x5,5.768242359161377,0,Optimal,75
EX74-1,7,8,1,5x5,901.0423264503479,0,Feasible,140
EX74-2,7,8,2,5x5,8.489479780197144,0,Optimal,73
EX74-3,7,8,3,5x5,494.32833194732666,78,Optimal,72
EX74-4,7,8,4,5x5,11.958534002304077,1,Optimal,72
EX74-5,7,8,5,5x5,609.6979115009308,54,Optimal,72
EX84-2,8,8,2,5x5,21.77662992477417,0,Optimal,93
EX84-3,8,8,3,5x5,10.011945962905884,1,Optimal,93
EX84-4,8,8,4,5x5,597.7504827976227,60,Optimal,93
EX84-5,8,8,5,5x5,10.7799551486969,0,Optimal,93
EX95-2,7,9,2,5x5,48.51830744743347,0,Optimal,83
EX95-3,7,9,3,5x5,91.22231936454773,12,Optimal,81
EX95-4,7,9,4,5x5,18005.650958299637,1337,Optimal,81
EX95-5,7,9,5,5x5,18005.518592834473,1328,Optimal,81
EX105-3,8,9,3,5x5,138.27529430389404,22,Optimal,64
EX105-4,8,9,4,5x5,578.7370085716248,73,Optimal,64
EX105-5,8,9,5,5x5,256.8998098373413,6,Optimal,64
EX105-6,8,9,6,5x5,850.5525825023651,37,Optimal,64
EX115-3,9,9,3,5x5,18009.271671772003,19,Feasible,57
EX115-4,9,9,4,5x5,18011.077852487564,1427,Optimal,55
EX115-5,9,9,5,5x5,3819.937924861908,185,Optimal,55
EX115-6,9,9,6,5x5,6968.09343624115,147,Optimal,55
EX115-7,9,9,7,5x5,13472.531395673752,612,Optimal,55
EX126-2,8,10,2,5x5,10.31156587600708,1,Optimal,84
EX126-3,8,10,3,5x5,1212.0190727710724,157,Optimal,84
EX136-3,9,10,3,5x5,150.50415992736816,13,Optimal,95
EX136-4,9,10,4,5x5,2020.3816449642181,153,Optimal,95
EX136-5,9,10,5,5x5,169.9411437511444,11,Optimal,95
EX136-6,9,10,6,5x5,1054.5872390270233,41,Optimal,95
EX136-7,9,10,7,5x5,1233.025687456131,41,Optimal,95
EX146-4,10,10,4,5x5,437.1396505832672,35,Optimal,92
EX146-5,10,10,5,5x5,25.099364519119263,1,Optimal,92
EX146-6,10,10,6,5x5,7842.249054670334,40,Optimal,92
EX146-7,10,10,7,5x5,5683.462921857834,217,Optimal,92
