EX,NR_JOBS,NR_MACHINES,NR_VEHICLES,GRID SIZE,COMPUTATION TIME,ITERATIONS,SOLVE STATUS,OBJECTIVE
EX11-1,3,5,1,3x3,0.11688017845153809,0,Optimal,42
EX11-2,3,5,2,3x3,0.21951842308044434,0,Optimal,40
EX11-3,3,5,3,3x3,0.4038119316101074,0,Optimal,40
EX22-1,4,6,1,4x4,1.1217544078826904,0,Optimal,63
EX22-2,4,6,2,4x4,288.3072636127472,152,Optimal,46
EX22-3,4,6,3,4x4,0.8487765789031982,0,Optimal,46
EX22-4,4,6,4,4x4,5.40161919593811,1,Optimal,46
EX32-1,5,6,1,4x4,19.45679807662964,0,Optimal,72
EX32-2,5,6,2,4x4,0.46761059761047363,0,Optimal,44
EX32-3,5,6,3,4x4,0.8064916133880615,0,Optimal,44
EX32-4,5,6,4,4x4,4.467782497406006,1,Optimal,44
EX43-1,5,7,1,4x4,17.078283309936523,0,Optimal,81
EX43-2,5,7,2,4x4,6.717113733291626,4,Optimal,51
EX43-3,5,7,3,4x4,1.1647987365722656,0,Optimal,51
EX43-4,5,7,4,4x4,3.0579676628112793,0,Optimal,51
EX53-1,6,7,1,4x4,900.3986990451813,0,Feasible,98
EX53-2,6,7,2,4x4,15.761487483978271,0,Optimal,53
EX53-3,6,7,3,4x4,4.542809247970581,1,Optimal,46
EX53-4,6,7,4,4x4,40.98818778991699,5,Optimal,46
EX53-5,6,7,5,4x4,6.409484386444092,1,Optimal,46
EX64-1,6,8,1,5x5,900.8722717761993,0,Feasible,114
EX64-2,6,8,2,5x5,2.9148731231689453,0,Optimal,75
EX64-3,6,8,3,5x5,21.149876356124878,3,Optimal,75
EX64-4,6,8,4,5x5,5.769117832183838,0,Optimal,75
EX74-1,7,8,1,5x5,901.0159485340118,0,Feasible,140
EX74-2,7,8,2,5x5,8.96178388595581,0,Optimal,73
EX74-3,7,8,3,5x5,2.5876452922821045,0,Optimal,72
EX74-4,7,8,4,5x5,5.589237451553345,0,Optimal,72
EX74-5,7,8,5,5x5,8.05728530883789,0,Optimal,72
EX84-2,8,8,2,5x5,10.246749639511108,0,Optimal,93
EX84-3,8,8,3,5x5,3.3868420124053955,0,Optimal,93
EX84-4,8,8,4,5x5,25.176570415496826,1,Optimal,93
EX84-5,8,8,5,5x5,37.73051857948303,1,Optimal,93
EX95-2,7,9,2,5x5,136.32169842720032,0,Optimal,83
EX95-3,7,9,3,5x5,1912.624540090561,101,Optimal,81
EX95-4,7,9,4,5x5,18154.61221408844,498,Optimal,81
EX95-5,7,9,5,5x5,523.2251527309418,18,Optimal,81
EX105-3,8,9,3,5x5,122.250497341156,24,Optimal,64
EX105-4,8,9,4,5x5,326.7528986930847,33,Optimal,64
EX105-5,8,9,5,5x5,969.8120353221893,55,Optimal,64
EX105-6,8,9,6,5x5,9.544006824493408,0,Optimal,64
EX115-3,9,9,3,5x5,18005.566024065018,19,Feasible,58
EX115-4,9,9,4,5x5,18026.272871255875,770,Unknown,Null
EX115-5,9,9,5,5x5,10083.867533445358,300,Optimal,55
EX115-6,9,9,6,5x5,1697.5225837230682,46,Optimal,55
EX115-7,9,9,7,5x5,15.764309644699097,0,Optimal,55
EX126-2,8,10,2,5x5,5.777500629425049,0,Optimal,84
EX126-3,8,10,3,5x5,21.45282220840454,3,Optimal,84
EX136-3,9,10,3,5x5,13.605648756027222,1,Optimal,95
EX136-4,9,10,4,5x5,39.92991518974304,3,Optimal,95
EX136-5,9,10,5,5x5,112.59677648544312,5,Optimal,95
EX136-6,9,10,6,5x5,124.54656100273132,5,Optimal,95
EX136-7,9,10,7,5x5,122.06093907356262,3,Optimal,95
EX146-4,10,10,4,5x5,43.19010376930237,2,Optimal,92
EX146-5,10,10,5,5x5,12.442233085632324,0,Optimal,92
EX146-6,10,10,6,5x5,17.320101261138916,0,Optimal,92
EX146-7,10,10,7,5x5,22.866169214248657,0,Optimal,92
