EX,NR_JOBS,NR_MACHINES,NR_VEHICLES,GRID SIZE,COMPUTATION TIME,ITERATIONS,SOLVE STATUS,OBJECTIVE
EX11-1,3,5,1,3x3,0.1203150749206543,0,Optimal,42
EX11-2,3,5,2,3x3,0.22242999076843262,0,Optimal,40
EX11-3,3,5,3,3x3,0.5875747203826904,0,Optimal,40
EX22-1,4,6,1,4x4,0.9047887325286865,0,Optimal,63
EX22-2,4,6,2,4x4,163.8768548965454,8,Optimal,46
EX22-3,4,6,3,4x4,0.8289337158203125,0,Optimal,46
EX22-4,4,6,4,4x4,25.82931160926819,1,Optimal,46
EX32-1,5,6,1,4x4,14.100056409835815,0,Optimal,72
EX32-2,5,6,2,4x4,0.48015451431274414,0,Optimal,44
EX32-3,5,6,3,4x4,2.0535051822662354,0,Optimal,44
EX32-4,5,6,4,4x4,108.29455590248108,4,Optimal,44
EX43-1,5,7,1,4x4,14.367171287536621,0,Optimal,81
EX43-2,5,7,2,4x4,18.879813194274902,1,Optimal,51
EX43-3,5,7,3,4x4,1.1062355041503906,0,Optimal,51
EX43-4,5,7,4,4x4,2.9703269004821777,0,Optimal,51
EX53-1,6,7,1,4x4,900.3941159248352,0,Feasible,98
EX53-2,6,7,2,4x4,14.221213817596436,0,Optimal,53
EX53-3,6,7,3,4x4,28.324253797531128,1,Optimal,46
EX53-4,6,7,4,4x4,58.38871669769287,3,Optimal,46
EX53-5,6,7,5,4x4,319.6012694835663,6,Optimal,46
EX64-1,6,8,1,5x5,900.838278055191,0,Feasible,114
EX64-2,6,8,2,5x5,3.097578763961792,0,Optimal,75
EX64-3,6,8,3,5x5,21.093602657318115,1,Optimal,75
EX64-4,6,8,4,5x5,5.9913551807403564,0,Optimal,75
EX74-1,7,8,1,5x5,900.9753813743591,0,Feasible,140
EX74-2,7,8,2,5x5,8.689242601394653,0,Optimal,73
EX74-3,7,8,3,5x5,2.3481996059417725,0,Optimal,72
EX74-4,7,8,4,5x5,5.394261121749878,0,Optimal,72
EX74-5,7,8,5,5x5,8.949578285217285,0,Optimal,72
EX84-2,8,8,2,5x5,8.013437032699585,0,Optimal,93
EX84-3,8,8,3,5x5,5.056524038314819,0,Optimal,93
EX84-4,8,8,4,5x5,421.9697880744934,3,Optimal,93
EX84-5,8,8,5,5x5,70.55185890197754,1,Optimal,93
EX95-2,7,9,2,5x5,137.6103572845459,0,Optimal,83
EX95-3,7,9,3,5x5,106.31046628952026,3,Optimal,81
EX95-4,7,9,4,5x5,745.4165287017822,8,Optimal,81
EX95-5,7,9,5,5x5,548.6912484169006,3,Optimal,81
EX105-3,8,9,3,5x5,45.424593925476074,4,Optimal,64
EX105-4,8,9,4,5x5,742.625729560852,13,Optimal,64
EX105-5,8,9,5,5x5,47.136417627334595,2,Optimal,64
EX105-6,8,9,6,5x5,9.595229387283325,0,Optimal,64
EX115-3,9,9,3,5x5,18014.25270152092,19,Feasible,58
EX115-4,9,9,4,5x5,18056.652174949646,319,Feasible,58
EX115-5,9,9,5,5x5,13503.533280611038,130,Optimal,55
EX115-6,9,9,6,5x5,1424.0571987628937,11,Optimal,55
EX115-7,9,9,7,5x5,12.185785055160522,0,Optimal,55
EX126-2,8,10,2,5x5,4.258258819580078,0,Optimal,84
EX126-3,8,10,3,5x5,63.73317503929138,3,Optimal,84
EX136-3,9,10,3,5x5,1158.3830213546753,24,Optimal,95
EX136-4,9,10,4,5x5,70.122323513031,2,Optimal,95
EX136-5,9,10,5,5x5,46.750312089920044,1,Optimal,95
EX136-6,9,10,6,5x5,1413.5159220695496,34,Optimal,95
EX136-7,9,10,7,5x5,115.138986825943,2,Optimal,95
EX146-4,10,10,4,5x5,83.09570837020874,2,Optimal,92
EX146-5,10,10,5,5x5,12.125409841537476,0,Optimal,92
EX146-6,10,10,6,5x5,16.767213344573975,0,Optimal,92
EX146-7,10,10,7,5x5,23.085293531417847,0,Optimal,92
