EX,NR_JOBS,NR_MACHINES,NR_VEHICLES,GRID SIZE,COMPUTATION TIME,ITERATIONS,SOLVE STATUS,OBJECTIVE
EX11-1,3,5,1,3x3,0.12089085578918457,0,Optimal,42
EX11-2,3,5,2,3x3,0.22369670867919922,0,Optimal,40
EX11-3,3,5,3,3x3,0.9661476612091064,0,Optimal,40
EX22-1,4,6,1,4x4,1.2804086208343506,0,Optimal,63
EX22-2,4,6,2,4x4,11.718336582183838,5,Optimal,46
EX22-3,4,6,3,4x4,0.917008638381958,0,Optimal,46
EX22-4,4,6,4,4x4,6.0283284187316895,1,Optimal,46
EX32-1,5,6,1,4x4,17.206897974014282,0,Optimal,72
EX32-2,5,6,2,4x4,0.4510657787322998,0,Optimal,44
EX32-3,5,6,3,4x4,0.8021559715270996,0,Optimal,44
EX32-4,5,6,4,4x4,14.901551246643066,4,Optimal,44
EX43-1,5,7,1,4x4,13.708040714263916,0,Optimal,81
EX43-2,5,7,2,4x4,3.498387098312378,1,Optimal,51
EX43-3,5,7,3,4x4,0.9805035591125488,0,Optimal,51
EX43-4,5,7,4,4x4,1.5217266082763672,0,Optimal,51
EX53-1,6,7,1,4x4,901.8612253665924,0,Feasible,98
EX53-2,6,7,2,4x4,14.3225679397583,0,Optimal,53
EX53-3,6,7,3,4x4,5.973203659057617,1,Optimal,46
EX53-4,6,7,4,4x4,41.012025594711304,10,Optimal,46
EX53-5,6,7,5,4x4,390.0016179084778,29,Optimal,46
EX64-1,6,8,1,5x5,900.8220589160919,0,Feasible,114
EX64-2,6,8,2,5x5,1.382948637008667,0,Optimal,75
EX64-3,6,8,3,5x5,14.173476219177246,1,Optimal,75
EX64-4,6,8,4,5x5,4.3979949951171875,0,Optimal,75
EX74-1,7,8,1,5x5,902.7508518695831,0,Feasible,140
EX74-2,7,8,2,5x5,6.992814540863037,0,Optimal,73
EX74-3,7,8,3,5x5,2.342257022857666,0,Optimal,72
EX74-4,7,8,4,5x5,5.8219215869903564,0,Optimal,72
EX74-5,7,8,5,5x5,9.389142274856567,0,Optimal,72
EX84-2,8,8,2,5x5,7.668568134307861,0,Optimal,93
EX84-3,8,8,3,5x5,3.216745615005493,0,Optimal,93
EX84-4,8,8,4,5x5,274.8401029109955,11,Optimal,93
EX84-5,8,8,5,5x5,429.691992521286,11,Optimal,93
EX95-2,7,9,2,5x5,134.81310868263245,0,Optimal,83
EX95-3,7,9,3,5x5,2855.4582092761993,106,Optimal,81
EX95-4,7,9,4,5x5,936.2447564601898,59,Optimal,81
EX95-5,7,9,5,5x5,1005.88920545578,31,Optimal,81
EX105-3,8,9,3,5x5,604.7078261375427,81,Optimal,64
EX105-4,8,9,4,5x5,2952.758841753006,220,Optimal,64
EX105-5,8,9,5,5x5,116.53229975700378,5,Optimal,64
EX105-6,8,9,6,5x5,9.894057512283325,0,Optimal,64
EX115-3,9,9,3,5x5,18009.170854330063,19,Feasible,58
EX115-4,9,9,4,5x5,18009.092205286026,1169,Optimal,55
EX115-5,9,9,5,5x5,18015.767748117447,942,Optimal,55
EX115-6,9,9,6,5x5,18104.892177581787,410,Optimal,55
EX115-7,9,9,7,5x5,14.967501401901245,0,Optimal,55
EX126-2,8,10,2,5x5,3.6689109802246094,0,Optimal,84
EX126-3,8,10,3,5x5,16.503817081451416,2,Optimal,84
EX136-3,9,10,3,5x5,3907.8046107292175,153,Optimal,95
EX136-4,9,10,4,5x5,2059.8735280036926,109,Optimal,95
EX136-5,9,10,5,5x5,195.5606563091278,11,Optimal,95
EX136-6,9,10,6,5x5,1909.4771754741669,75,Optimal,95
EX136-7,9,10,7,5x5,3871.1979055404663,85,Optimal,95
EX146-4,10,10,4,5x5,578.1062331199646,9,Optimal,92
EX146-5,10,10,5,5x5,11.6975576877594,0,Optimal,92
EX146-6,10,10,6,5x5,18.271029233932495,0,Optimal,92
EX146-7,10,10,7,5x5,22.35509705543518,0,Optimal,92
