EX,NR_JOBS,NR_MACHINES,NR_VEHICLES,GRID SIZE,COMPUTATION TIME,ITERATIONS,SOLVE STATUS,OBJECTIVE
EX11-1,3,5,1,3x3,0.12286233901977539,0,Optimal,42
EX11-2,3,5,2,3x3,0.22545146942138672,0,Optimal,40
EX11-3,3,5,3,3x3,0.3950467109680176,0,Optimal,40
EX22-1,4,6,1,4x4,1.241356611251831,0,Optimal,63
EX22-2,4,6,2,4x4,294.46382880210876,152,Optimal,46
EX22-3,4,6,3,4x4,5.414708852767944,2,Optimal,46
EX22-4,4,6,4,4x4,904.8907425403595,192,Optimal,46
EX32-1,5,6,1,4x4,18.264233112335205,0,Optimal,72
EX32-2,5,6,2,4x4,0.4443802833557129,0,Optimal,44
EX32-3,5,6,3,4x4,0.7990021705627441,0,Optimal,44
EX32-4,5,6,4,4x4,2200.7003831863403,352,Optimal,44
EX43-1,5,7,1,4x4,14.904634475708008,0,Optimal,81
EX43-2,5,7,2,4x4,5.310173034667969,4,Optimal,51
EX43-3,5,7,3,4x4,813.3136746883392,201,Optimal,51
EX43-4,5,7,4,4x4,2.999579668045044,0,Optimal,51
EX53-1,6,7,1,4x4,900.4365894794464,0,Feasible,98
EX53-2,6,7,2,4x4,15.047370195388794,0,Optimal,53
EX53-3,6,7,3,4x4,18019.353825092316,1123,Unknown,Null
EX53-4,6,7,4,4x4,18006.09603857994,1053,Optimal,46
EX53-5,6,7,5,4x4,132.42497205734253,18,Optimal,46
EX64-1,6,8,1,5x5,902.1572279930115,0,Feasible,114
EX64-2,6,8,2,5x5,1.6999616622924805,0,Optimal,75
EX64-3,6,8,3,5x5,3.7204043865203857,0,Optimal,75
EX64-4,6,8,4,5x5,343.8282070159912,21,Optimal,75
EX74-1,7,8,1,5x5,901.0188024044037,0,Feasible,140
EX74-2,7,8,2,5x5,10.130834817886353,0,Optimal,73
EX74-3,7,8,3,5x5,18096.61874461174,371,Optimal,72
EX74-4,7,8,4,5x5,18023.85824751854,313,Optimal,72
EX74-5,7,8,5,5x5,10001.929244279861,249,Optimal,72
EX84-2,8,8,2,5x5,70.66196036338806,0,Optimal,93
EX84-3,8,8,3,5x5,18019.27346277237,399,Optimal,93
EX84-4,8,8,4,5x5,18002.461229801178,418,Optimal,93
EX84-5,8,8,5,5x5,18000.017060279846,394,Optimal,93
EX95-2,7,9,2,5x5,94.4995665550232,0,Optimal,83
EX95-3,7,9,3,5x5,18000.767558574677,745,Optimal,81
EX95-4,7,9,4,5x5,18058.372675418854,502,Optimal,81
EX95-5,7,9,5,5x5,18188.293050527573,346,Optimal,81
EX105-3,8,9,3,5x5,12671.707066297531,614,Optimal,64
EX105-4,8,9,4,5x5,18029.945991516113,755,Feasible,65
EX105-5,8,9,5,5x5,18194.55742239952,496,Optimal,64
EX105-6,8,9,6,5x5,18124.458335876465,242,Optimal,64
EX115-3,9,9,3,5x5,18005.83499765396,19,Feasible,57
EX115-4,9,9,4,5x5,18000.04848074913,780,Optimal,55
EX115-5,9,9,5,5x5,18023.549832344055,636,Optimal,55
EX115-6,9,9,6,5x5,18001.164021015167,594,Optimal,55
EX115-7,9,9,7,5x5,18061.800797462463,282,Optimal,55
EX126-2,8,10,2,5x5,67.08834338188171,8,Optimal,84
EX126-3,8,10,3,5x5,18025.985654354095,846,Unknown,Null
EX136-3,9,10,3,5x5,18028.012045145035,503,Optimal,95
EX136-4,9,10,4,5x5,18155.79858970642,447,Optimal,95
EX136-5,9,10,5,5x5,199.66035795211792,8,Optimal,95
EX136-6,9,10,6,5x5,18155.866990804672,475,Optimal,95
EX136-7,9,10,7,5x5,18011.345744609833,238,Optimal,95
EX146-4,10,10,4,5x5,18022.40385365486,559,Unknown,Null
EX146-5,10,10,5,5x5,18098.720604896545,434,Optimal,92
EX146-6,10,10,6,5x5,18043.509815454483,447,Feasible,94
EX146-7,10,10,7,5x5,18053.689733028412,321,Optimal,92
