EX,NR_JOBS,NR_MACHINES,NR_VEHICLES,GRID SIZE,COMPUTATION TIME,ITERATIONS,SOLVE STATUS,OBJECTIVE
EX11-1,3,5,1,3x3,1.7894272804260254,0,Optimal,42
EX11-2,3,5,2,3x3,0.29236531257629395,0,Optimal,40
EX11-3,3,5,3,3x3,0.4664580821990967,0,Optimal,40
EX22-1,4,6,1,4x4,2.120591163635254,0,Optimal,63
EX22-2,4,6,2,4x4,158.867840051651,8,Optimal,46
EX22-3,4,6,3,4x4,3.9588873386383057,1,Optimal,46
EX22-4,4,6,4,4x4,13.368121862411499,2,Optimal,46
EX32-1,5,6,1,4x4,18.643808126449585,0,Optimal,72
EX32-2,5,6,2,4x4,0.5794582366943359,0,Optimal,44
EX32-3,5,6,3,4x4,0.954033374786377,0,Optimal,44
EX32-4,5,6,4,4x4,35.59567618370056,5,Optimal,44
EX43-1,5,7,1,4x4,15.91908597946167,0,Optimal,81
EX43-2,5,7,2,4x4,5.85985541343689,1,Optimal,51
EX43-3,5,7,3,4x4,7.434323310852051,1,Optimal,51
EX43-4,5,7,4,4x4,2.2204062938690186,0,Optimal,51
EX53-1,6,7,1,4x4,900.3926727771759,0,Feasible,98
EX53-2,6,7,2,4x4,13.62117052078247,0,Optimal,53
EX53-3,6,7,3,4x4,22.580208778381348,3,Optimal,46
EX53-4,6,7,4,4x4,339.5837388038635,8,Optimal,46
EX53-5,6,7,5,4x4,64.08595490455627,4,Optimal,46
EX64-1,6,8,1,5x5,901.366956949234,0,Feasible,114
EX64-2,6,8,2,5x5,1.8932952880859375,0,Optimal,75
EX64-3,6,8,3,5x5,3.0910885334014893,0,Optimal,75
EX64-4,6,8,4,5x5,2166.528401374817,16,Optimal,75
EX74-1,7,8,1,5x5,901.0260119438171,0,Feasible,140
EX74-2,7,8,2,5x5,10.696855306625366,0,Optimal,73
EX74-3,7,8,3,5x5,1491.9483802318573,12,Optimal,72
EX74-4,7,8,4,5x5,4523.258081197739,25,Optimal,72
EX74-5,7,8,5,5x5,17350.628498077393,107,Optimal,72
EX84-2,8,8,2,5x5,56.10038232803345,0,Optimal,93
EX84-3,8,8,3,5x5,720.3702912330627,15,Optimal,93
EX84-4,8,8,4,5x5,2787.931935787201,20,Optimal,93
EX84-5,8,8,5,5x5,750.7378723621368,7,Optimal,93
EX95-2,7,9,2,5x5,87.92575311660767,0,Optimal,83
EX95-3,7,9,3,5x5,184.4171061515808,2,Optimal,81
EX95-4,7,9,4,5x5,1094.8362295627594,16,Optimal,81
EX95-5,7,9,5,5x5,149.12784123420715,3,Optimal,81
EX105-3,8,9,3,5x5,553.1628391742706,32,Optimal,64
EX105-4,8,9,4,5x5,693.9960811138153,19,Optimal,64
EX105-5,8,9,5,5x5,9867.071184873581,22,Unknown,64
EX105-6,8,9,6,5x5,4585.862588167191,10,Unknown,64
EX115-3,9,9,3,5x5,18011.245954990387,19,Feasible,58
EX115-4,9,9,4,5x5,12354.761822462082,302,Optimal,55
EX115-5,9,9,5,5x5,18039.53652858734,200,Unknown,Null
EX115-6,9,9,6,5x5,7162.752131700516,25,Unknown,55
EX115-7,9,9,7,5x5,16024.854603528976,62,Unknown,55
EX126-2,8,10,2,5x5,2874.8480458259583,4,Optimal,84
EX126-3,8,10,3,5x5,133.62463760375977,9,Optimal,84
EX136-3,9,10,3,5x5,1089.7130727767944,52,Optimal,95
EX136-4,9,10,4,5x5,6076.504134654999,37,Optimal,95
EX136-5,9,10,5,5x5,5690.062689304352,63,Optimal,95
EX136-6,9,10,6,5x5,1220.6017935276031,14,Optimal,95
EX136-7,9,10,7,5x5,3969.069214105606,29,Unknown,95
EX146-4,10,10,4,5x5,2934.2215824127197,21,Optimal,92
EX146-5,10,10,5,5x5,18130.953880786896,35,Unknown,Null
EX146-6,10,10,6,5x5,5044.34107708931,6,Unknown,92
EX146-7,10,10,7,5x5,5069.534669160843,9,Unknown,92
