EX,NR_JOBS,NR_MACHINES,NR_VEHICLES,GRID SIZE,COMPUTATION TIME,ITERATIONS,SOLVE STATUS,OBJECTIVE
EX11-1,3,5,1,3x3,0.18996787071228027,0,Optimal,42
EX11-2,3,5,2,3x3,0.43599987030029297,0,Optimal,40
EX11-3,3,5,3,3x3,0.4588918685913086,0,Optimal,40
EX22-1,4,6,1,4x4,1.925790548324585,0,Optimal,63
EX22-2,4,6,2,4x4,9.121678590774536,5,Optimal,46
EX22-3,4,6,3,4x4,3.971376657485962,1,Optimal,46
EX22-4,4,6,4,4x4,10.612204551696777,2,Optimal,46
EX32-1,5,6,1,4x4,21.683337211608887,0,Optimal,72
EX32-2,5,6,2,4x4,0.5181972980499268,0,Optimal,44
EX32-3,5,6,3,4x4,2.0606369972229004,0,Optimal,44
EX32-4,5,6,4,4x4,6.236197471618652,1,Optimal,44
EX43-1,5,7,1,4x4,14.14065170288086,0,Optimal,81
EX43-2,5,7,2,4x4,2.2236380577087402,1,Optimal,51
EX43-3,5,7,3,4x4,4.740210771560669,1,Optimal,51
EX43-4,5,7,4,4x4,3.596480131149292,0,Optimal,51
EX53-1,6,7,1,4x4,900.4281458854675,0,Feasible,98
EX53-2,6,7,2,4x4,15.99258279800415,0,Optimal,53
EX53-3,6,7,3,4x4,51.868895530700684,13,Optimal,46
EX53-4,6,7,4,4x4,18.014269590377808,3,Optimal,46
EX53-5,6,7,5,4x4,1432.8137238025665,71,Optimal,46
EX64-1,6,8,1,5x5,902.2892899513245,0,Feasible,114
EX64-2,6,8,2,5x5,1.5018033981323242,0,Optimal,75
EX64-3,6,8,3,5x5,3.9585375785827637,0,Optimal,75
EX64-4,6,8,4,5x5,626.7118647098541,32,Optimal,75
EX74-1,7,8,1,5x5,901.0534467697144,0,Feasible,140
EX74-2,7,8,2,5x5,10.470925331115723,0,Optimal,73
EX74-3,7,8,3,5x5,3325.624889612198,38,Optimal,72
EX74-4,7,8,4,5x5,3218.214110851288,23,Optimal,72
EX74-5,7,8,5,5x5,11917.991874933243,619,Optimal,72
EX84-2,8,8,2,5x5,68.89781332015991,0,Optimal,93
EX84-3,8,8,3,5x5,1927.8196437358856,105,Optimal,93
EX84-4,8,8,4,5x5,912.6673166751862,31,Optimal,93
EX84-5,8,8,5,5x5,18016.308847665787,716,Optimal,93
EX95-2,7,9,2,5x5,97.09617137908936,0,Optimal,83
EX95-3,7,9,3,5x5,75.1626398563385,6,Optimal,81
EX95-4,7,9,4,5x5,11417.932224988937,541,Optimal,81
EX95-5,7,9,5,5x5,304.7545733451843,15,Optimal,81
EX105-3,8,9,3,5x5,1357.7718584537506,59,Optimal,64
EX105-4,8,9,4,5x5,11268.121943950653,1054,Optimal,64
EX105-5,8,9,5,5x5,10658.139613628387,354,Optimal,64
EX105-6,8,9,6,5x5,18026.205790281296,792,Optimal,64
EX115-3,9,9,3,5x5,18007.42562675476,19,Feasible,58
EX115-4,9,9,4,5x5,18010.506249427795,1260,Optimal,55
EX115-5,9,9,5,5x5,18001.105432271957,915,Optimal,55
EX115-6,9,9,6,5x5,18011.207403182983,520,Optimal,55
EX115-7,9,9,7,5x5,18017.984567403793,357,Optimal,55
EX126-2,8,10,2,5x5,78.17269086837769,10,Optimal,84
EX126-3,8,10,3,5x5,11009.824293375015,1107,Optimal,84
EX136-3,9,10,3,5x5,99.66378688812256,1,Optimal,95
EX136-4,9,10,4,5x5,18025.412568330765,607,Optimal,95
EX136-5,9,10,5,5x5,18186.391073703766,478,Optimal,95
EX136-6,9,10,6,5x5,18024.418817281723,395,Optimal,95
EX136-7,9,10,7,5x5,9918.908767938614,164,Optimal,95
EX146-4,10,10,4,5x5,1155.3753714561462,55,Optimal,92
EX146-5,10,10,5,5x5,18025.539561986923,499,Optimal,92
EX146-6,10,10,6,5x5,18021.73396205902,397,Optimal,92
EX146-7,10,10,7,5x5,18011.288244247437,314,Optimal,92
