EX,NR_JOBS,NR_MACHINES,NR_VEHICLES,GRID SIZE,COMPUTATION TIME,ITERATIONS,SOLVE STATUS,OBJECTIVE
EX105-3,8,9,3,5x5,40.10408115386963,4,Optimal,64
EX105-4,8,9,4,5x5,722.224839925766,13,Optimal,64
EX105-5,8,9,5,5x5,47.13692378997803,2,Optimal,64
EX105-6,8,9,6,5x5,9.646490335464478,0,Optimal,64
EX11-1,3,5,1,3x3,0.12282276153564453,0,Optimal,42
EX11-2,3,5,2,3x3,0.23523950576782227,0,Optimal,40
EX11-3,3,5,3,3x3,0.5916662216186523,0,Optimal,40
EX115-3,9,9,3,5x5,1072.837434053421,25,Feasible,58
EX115-4,9,9,4,5x5,13214.607348918915,270,Feasible,99
EX115-5,9,9,5,5x5,2444.219108581543,24,Unknown,Null
EX115-6,9,9,6,5x5,2149.294271707535,32,Optimal,55
EX115-7,9,9,7,5x5,14.987235307693481,0,Optimal,55
EX126-2,8,10,2,5x5,5.136036157608032,0,Optimal,84
EX126-3,8,10,3,5x5,56.46832728385925,3,Optimal,84
EX136-3,9,10,3,5x5,1109.5589487552643,24,Optimal,95
EX136-4,9,10,4,5x5,66.63507556915283,2,Optimal,95
EX136-5,9,10,5,5x5,44.5402569770813,1,Optimal,95
EX136-6,9,10,6,5x5,1374.842477798462,34,Optimal,95
EX136-7,9,10,7,5x5,112.84686994552612,2,Optimal,95
EX146-4,10,10,4,5x5,82.80539083480835,2,Optimal,92
EX146-5,10,10,5,5x5,12.11816954612732,0,Optimal,92
EX146-6,10,10,6,5x5,16.59909200668335,0,Optimal,92
EX146-7,10,10,7,5x5,22.924039840698242,0,Optimal,92
EX22-1,4,6,1,4x4,1.146531581878662,0,Optimal,63
EX22-2,4,6,2,4x4,152.86026000976562,8,Optimal,46
EX22-3,4,6,3,4x4,0.8300302028656006,0,Optimal,46
EX22-4,4,6,4,4x4,24.74681806564331,1,Optimal,46
EX32-1,5,6,1,4x4,15.111833095550537,0,Optimal,72
EX32-2,5,6,2,4x4,0.4574110507965088,0,Optimal,44
EX32-3,5,6,3,4x4,1.962418556213379,0,Optimal,44
EX32-4,5,6,4,4x4,103.27042889595032,4,Optimal,44
EX43-1,5,7,1,4x4,11.675272703170776,0,Optimal,81
EX43-2,5,7,2,4x4,17.79923367500305,1,Optimal,51
EX43-3,5,7,3,4x4,0.9640583992004395,0,Optimal,51
